Supplementary Table S6: gene expression profile (FPKM) of mouse across 17 tissues																																																																						
gene_id	gene_short_name	gene_type	mAg_F_815	mAg_F_831	mAg_M_783	mAg_M_799	mBr_F_812	mBr_F_828	mBr_F_848	mBr_F_850	mBr_M_780	mBr_M_796	mBr_M_844	mBr_M_846	mFs_F_823	mFs_F_839	mFs_M_791	mFs_M_807	mHe_F_818	mHe_F_834	mHe_M_786	mHe_M_802	mKi_F_814	mKi_F_830	mKi_M_782	mKi_M_798	mLi_F_813	mLi_F_829	mLi_F_849	mLi_F_851	mLi_M_781	mLi_M_797	mLi_M_845	mLi_M_847	mLin_F_825	mLin_F_841	mLin_M_793	mLin_M_809	mLu_F_817	mLu_F_833	mLu_M_785	mLu_M_801	mMu_F_826	mMu_F_842	mMu_M_794	mMu_M_810	mOv_F_820	mOv_F_836	mSin_F_824	mSin_F_840	mSin_M_792	mSin_M_808	mSp_F_816	mSp_F_832	mSp_M_784	mSp_M_800	mSt_F_822	mSt_F_838	mSt_M_790	mSt_M_806	mTe_M_788	mTe_M_804	mTh_F_819	mTh_F_835	mTh_M_787	mTh_M_803	mUt_F_827	mUt_F_843	mVg_M_795	mVg_M_811
ENSMUSG00000000149	Gna12	protein_coding	31.895	38.851	24.8435	28.8198	30.037	26.4716	26.5847	22.7531	36.2269	29.3183	32.5686	29.1552	23.0444	15.3946	14.1092	22.0642	25.5958	34.1	29.0691	31.6399	42.3914	32.5122	37.8286	35.4364	19.6138	19.5353	22.7793	19.988	20.1851	18.8967	21.322	19.3494	8.9216	10.4523	9.5907	9.1144	19.7749	31.4254	16.0167	18.5541	10.6845	7.7577	8.3945	11.6694	36.6764	37.2571	7.9673	7.7093	6.1719	5.2118	27.3589	31.6374	25.8886	24.2051	10.6354	9.5827	7.4463	9.1342	15.3144	19.1437	12.1214	16.2538	14.3915	11.0307	20.5564	34.4847	15.7724	17.2451
ENSMUSG00000000154	Slc22a18	protein_coding	6.7632	9.0079	15.2018	6.0572	1.6197	0.5729	0.6115	0.2586	0.2801	0.4763	0.4848	0.6915	18.0686	30.6581	24.1776	23.3091	0.147	0	0.8355	0.5692	273.301	247.925	323.563	254.074	39.5181	54.7844	45.6548	57.782	45.8198	63.7682	48.9076	66.1326	48.4417	44.9276	40.8152	41.4517	6.5856	6.4737	7.215	7.871	2.0598	0.9566	3.7138	1.4822	9.035	3.0555	50.4227	47.0548	53.0496	58.4493	1.2856	0.9954	1.5384	1.55	39.5923	33.1487	37.8778	30.9805	11.7149	12.2006	1.1721	1.596	1.1001	1.0949	5.4611	4.2792	6.2912	5.9728
ENSMUSG00000000157	Itgb2l	protein_coding	0.0568	0.0446	0	0.0979	0	0	0	0	0	0	0	0.0447	0	0.6468	0.3005	0.5888	0	0	0.0322	0.032	0.2977	0.2394	0.6394	0.195	0.1927	0.2109	0.0928	0.4044	0.2462	0.0479	0	0.041	0.4014	0.3772	0.3774	0.7522	0.764	0.3999	0.8211	0.325	0	0	0.1278	0	0.3825	0.1247	0.3528	0.512	0.6743	0.2998	1.4068	3.131	2.3323	4.36	2.2288	1.2794	1.309	0.6532	0.2045	0	0	0	0.5982	0	0.2296	0	0.0508	0.2505
ENSMUSG00000000159	Igsf5	protein_coding	1.1015	1.9678	0.7613	1.0163	0.4622	0.2012	1.022	0.2439	0.2748	0.1667	0.3101	0.2057	1.0952	61.7359	52.7081	15.2438	0.0969	0.0743	0.3784	0.4281	28.7925	36.5432	29.6185	28.3686	16.8921	17.1698	17.6494	15.1206	16.4241	18.6843	18.9034	17.8974	30.1011	28.6284	36.8001	29.8334	20.1322	17.3502	22.488	17.7547	0.5719	0.4334	3.0246	0.2831	6.906	2.4063	35.7578	34.8167	50.5126	48.4043	0	0.0752	0.1603	0.2069	87.2006	71.0879	120.673	84.0211	0.2743	0.2231	0.1757	0.4524	0.1483	0.0787	12.0093	5.6953	12.7184	14.4319
ENSMUSG00000000167	Pih1d2	protein_coding	2.7517	1.3273	2.8176	2.461	2.1969	1.3931	1.007	3.0666	2.4304	1.3278	2.4657	1.1653	1.1616	0.3378	1.2488	1.6581	0	0.3385	0.2663	0.2053	1.9402	2.2448	2.5556	1.917	0.755	0.5671	0.2038	0.188	0.1164	0.6411	0.3596	0.9725	0.7536	2.077	1.5537	2.02	5.7004	5.5685	11.5554	4.5607	0.3248	0.4208	0.948	0.3163	7.5426	2.9718	0.9035	0.7739	0.1935	0.3202	0.2045	1.3923	0.4644	1.034	0.7828	1.1267	2.4007	0.4305	41.8423	53.6256	1.2463	0.9899	1.1103	1.3743	2.8955	1.3287	0.8252	1.0739
ENSMUSG00000000168	Dlat	protein_coding	25.0001	25.6602	20.5075	28.4712	39.5486	31.0912	29.7854	34.5526	35.2322	29.8294	30.1634	35.1981	17.5884	27.9206	21.0616	19.5506	93.56	112.944	93.5289	99.5474	48.2531	51.175	45.1219	43.3179	17.1374	14.4982	22.2103	14.9783	14.2717	18.9189	13.7	15.3674	21.8432	29.9236	29.2958	26.9735	13.5447	13.3727	10.8336	14.2549	60.4265	76.3223	53.4185	81.1924	23.5881	20.3068	20.0751	15.7974	16.9812	24.0205	14.6306	16.9524	15.8822	16.1812	25.9779	27.3549	31.0763	26.5883	51.396	63.8198	17.4708	19.5158	20.1103	15.8171	18.6567	24.3402	4.9477	9.4848
ENSMUSG00000000171	Sdhd	protein_coding	134.051	133.662	149.239	149.647	83.6273	70.1495	80.12	68.5582	71.4944	66.4144	70.8705	78.0158	71.3482	165.613	153.323	102.539	309.907	352.392	315.957	315.101	277.772	303.267	259.344	266.819	196.3	205.079	208.923	196.989	208.742	199.933	199.577	199.018	223.876	303.455	316.419	308.597	74.8517	73.3013	102.294	91.1033	307.936	294.851	289.546	308.151	112.841	105.386	273.891	330.308	387.293	425.651	87.2963	87.9323	89.2981	103.526	236.432	208.817	257.717	213.005	70.4111	72.423	112.952	127.266	117.058	108.248	142.247	122.178	51.351	56.8277
ENSMUSG00000000182	Fgf23	protein_coding	0	0	0.1664	0	0.318	0.3127	0.0838	0.0874	0.0933	0.1756	0.7499	0.0838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0671	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1217	0	0	0	0	0.0856	0.0814	0	0	0	0	0	0	0	0	0	0	0.3861	0.0806	0	0	0	0
ENSMUSG00000000183	Fgf6	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2588	0.0981	0.0829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5957	1.5316	0.4739	1.3592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1756	0	0	0	0	0	0
ENSMUSG00000000184	Ccnd2	protein_coding	74.1206	77.4273	51.3533	61.5897	9.5617	12.9864	11.8357	15.3279	16.5404	17.7182	15.6213	16.7175	34.98	29.2899	27.5913	30.8795	17.104	19.9225	19.2741	18.4204	4.1168	3.9651	4.4182	5.0071	2.0892	2.9262	2.7231	2.3085	1.637	1.2984	1.4791	1.3104	19.5266	39.5346	44.4801	34.3876	30.9376	32.6681	29.2583	26.0093	8.9023	4.597	11.3638	5.8245	43.7982	46.5485	42.3094	45.3885	27.9193	18.7831	37.0967	39.5711	36.1477	27.2563	23.3489	21.9257	20.0952	16.7641	1.9415	2.6964	20.7315	23.1735	31.6209	24.2401	8.4476	21.9649	2.7096	6.3773
ENSMUSG00000000194	Gpr107	protein_coding	25.3836	23.478	21.8001	22.9892	15.7382	13.5426	13.0705	15.2975	15.5421	13.5571	12.1559	14.8768	20.8404	16.3785	19.9103	23.1088	9.4261	8.8506	9.927	10.3905	15.6463	14.8014	12.1158	12.7229	4.5879	4.7443	5.7334	4.3655	4.2501	5.4259	6.6081	5.5079	18.0795	25.6404	23.7752	20.7981	16.2452	19.5789	14.7607	16.9514	10.9641	7.8873	7.8366	11.8953	19.4173	24.5815	26.9498	27.0988	28.9055	32.9892	16.8102	16.6022	17.6943	13.902	18.2308	16.4621	15.943	12.0475	25.1484	23.2045	17.9262	16.8222	21.1943	17.6527	19.2089	19.4029	8.6935	11.1084
ENSMUSG00000000197	Nalcn	protein_coding	2.0608	2.5625	3.2482	2.6237	19.1913	19.4538	17.3154	20.7246	21.2203	19.7326	21.3669	19.3455	0.3008	0.5272	0.4323	0.3901	0.0892	0.1206	0.2341	0.3453	0	0.0752	0.0421	0.1021	0.0198	0	0	0.0188	0.0364	0	0.0194	0.0179	0.1524	0.3477	0.2479	0.1181	0.1132	0.0381	0.0663	0.1098	0.1418	0.0995	0.0775	0.0348	0.7434	1.0211	0.1117	0.0217	0	0.0487	0.0191	0.0363	0.0368	0.0189	0.5448	0.5175	0.6046	0.5361	0.5347	0.3633	0.0601	0.1086	0.0438	0.0538	0.0393	0.6898	0.2119	0.271
ENSMUSG00000000202	Btbd17	protein_coding	0	0	0.0953	0.5572	14.5886	10.798	14.6477	10.2415	11.4934	13.2223	12.5695	9.9322	0	0.7406	0	0.0993	0	0	0.0579	0	0	0	0	0	0	0	0	0	0	0.0706	0	0	0	0	0	0.2786	0.1054	0	0.2748	0	0.1093	0	0.3072	0.529	2.921	0.6354	0.5616	0.6441	0	0	0.3456	0	0.0478	0	0.1007	1.7141	0.8429	0.1264	0.1168	0.0714	0	0	0.3933	0	3.2055	0.607	0.1105	0.0937
ENSMUSG00000000204	Slfn4	protein_coding	0.6605	0.56	0.4379	0.577	0	0	0.0372	0	0.0396	0	0.0413	0	0.2662	3.9749	3.6082	1.4314	0.0751	0.1527	0.1814	0.613	0.231	0.1772	0.0393	0.1516	0.1781	0.0347	0.0775	0.1078	0.1673	0.1179	0.1786	0.0687	10.8117	25.0487	28.1821	29.4486	1.6673	1.1062	2.2658	1.6073	0.6882	0.252	1.6175	0.1186	3.8599	2.8591	3.8748	1.9784	2.8031	2.3289	3.3734	4.6608	5.597	3.6837	0.3352	0.4116	0.3029	1.3833	0.2987	0.0495	1.4155	1.8571	1.4287	0.4863	6.8252	0.5826	0.0695	0.0342
ENSMUSG00000000214	Th	protein_coding	323.035	278.194	413.29	481.622	5.2573	0.4686	4.8449	0.4338	11.0786	2.3072	9.2448	0.758	0.5896	0.4064	0.3194	0.2875	0	0	0.4079	0.1324	0	0	0	0.1511	0	0.0947	0	0	0.0667	0	0	0	0	0	0	0.1906	0.5792	0.4952	0.1317	0.428	1.2015	0.1759	0.7952	0.9361	0.7537	1.8044	0.9549	1.5548	0.5477	0.09	0.3092	0.6376	0.4397	0.2176	0.4312	0.1613	0.1926	0.1854	0	0	0.1118	0.2216	0.1661	0.3007	0	0	0.0806	0.2769
ENSMUSG00000000215	Ins2	protein_coding	0	0	0	0	0	0	0.4346	0	0	0.4562	0	0.4435	0	0	0	0	0	0	0	0	0.5182	0.6141	0	0	0	0	0	0	0	0	0	0	54.9408	0	0	0	0	0	0	0	0	0	2.4257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8609	0.4894	0.481	0	0	0.859	0	0	0	0
ENSMUSG00000000216	Scnn1g	protein_coding	0.1083	0.2408	0.4949	0.133	0.2589	0.1019	0.1252	0.0863	0	0.0444	0.0465	0	2.2698	1.6583	1.7769	1.8513	0.0478	0.0724	0.1543	0.1208	11.5207	12.2649	7.7822	10.6116	0	0.0396	0	0.0389	0.0793	0.0434	0	0	0.128	4.1092	2.1357	3.9855	45.5049	46.5503	34.1832	48.5531	0	0	0.1287	0	0	0.059	0	0	0.0366	0	0	0.04	0.0798	0.0411	1.332	0.692	1.5368	0.8472	0.0484	0	0.9654	0.7879	0.5262	0.4348	0	0	0.4517	0.7642
